node_count, generation, fitness, population
151,28,0.0007027406886858749,1
151,29,0.0007027406886858749,1
151,30,0.0007027406886858749,1
151,31,0.0007027406886858749,1
151,32,0.0007027406886858749,1
151,33,0.0007027406886858749,1
151,34,0.0007027406886858749,1
151,35,0.0007027406886858749,1
151,36,0.0007027406886858749,1
151,37,0.0007027406886858749,1
151,38,0.0007027406886858749,1
151,39,0.0007027406886858749,1
151,40,0.0007027406886858749,1
151,41,0.0007027406886858749,1
151,42,0.0007027406886858749,1
151,43,0.0007027406886858749,1
151,44,0.0007027406886858749,1
151,45,0.0007027406886858749,1
151,46,0.0007027406886858749,1
151,47,0.0008077544426494346,1
151,48,0.0008077544426494346,1
151,49,0.0008077544426494346,1
136,0,0.00028555111364934324,2
136,1,0.00040766408479412964,2
136,2,0.00040766408479412964,2
136,3,0.00040766408479412964,2
136,4,0.0004428697962798937,2
136,5,0.0004428697962798937,2
136,6,0.0006321112515802782,2
136,7,0.0006321112515802782,2
136,8,0.0008658008658008658,2
136,9,0.0008658008658008658,2
136,10,0.0008944543828264759,2
136,11,0.0008944543828264759,2
136,12,0.0008944543828264759,2
136,13,0.0008944543828264759,2
136,14,0.0008944543828264759,2
136,15,0.0018552875695732839,2
136,16,0.0018552875695732839,2
136,17,0.0018552875695732839,2
136,18,0.0018552875695732839,2
136,19,0.0018552875695732839,2
136,20,0.0018552875695732839,2
136,21,0.0018552875695732839,2
136,22,0.0018552875695732839,2
136,23,0.0018552875695732839,2
136,24,0.0018552875695732839,2
136,25,0.0018552875695732839,2
136,26,0.0018552875695732839,2
136,27,0.0018552875695732839,2
136,28,0.0018552875695732839,2
136,29,0.0018552875695732839,2
136,30,0.0018552875695732839,2
136,31,0.0018552875695732839,2
136,32,0.0018552875695732839,2
136,33,0.0018552875695732839,2
136,34,0.0018552875695732839,2
136,35,0.0018552875695732839,2
136,36,0.0018552875695732839,2
136,37,0.0018552875695732839,2
136,38,0.0018552875695732839,2
136,39,0.0023094688221709007,2
136,40,0.0023094688221709007,2
136,41,0.0023094688221709007,2
136,42,0.0023094688221709007,2
136,43,0.0023094688221709007,2
136,44,0.0023094688221709007,2
136,45,0.0023094688221709007,2
136,46,0.0023094688221709007,2
136,47,0.0023094688221709007,2
136,48,0.0023094688221709007,2
136,49,0.0023094688221709007,2
39,0,0.002150537634408602,3
39,1,0.003401360544217687,3
39,2,0.003401360544217687,3
39,3,0.003401360544217687,3
39,4,0.003745318352059925,3
39,5,0.003745318352059925,3
39,6,0.003745318352059925,3
39,7,0.003745318352059925,3
39,8,0.00411522633744856,3
39,9,0.00411522633744856,3
39,10,0.00411522633744856,3
39,11,0.00411522633744856,3
39,12,0.00411522633744856,3
39,13,0.00411522633744856,3
39,14,0.00411522633744856,3
39,15,0.00411522633744856,3
39,16,0.005747126436781609,3
39,17,0.005747126436781609,3
39,18,0.005747126436781609,3
39,19,0.005291005291005291,3
39,20,0.005291005291005291,3
39,21,0.005291005291005291,3
39,22,0.005291005291005291,3
39,23,0.005291005291005291,3
39,24,0.005291005291005291,3
39,25,0.005291005291005291,3
39,26,0.005291005291005291,3
39,27,0.005291005291005291,3
39,28,0.005291005291005291,3
39,29,0.006134969325153374,3
39,30,0.006134969325153374,3
39,31,0.006134969325153374,3
39,32,0.006134969325153374,3
39,33,0.006134969325153374,3
39,34,0.006134969325153374,3
39,35,0.006134969325153374,3
39,36,0.006134969325153374,3
39,37,0.0064516129032258064,3
39,38,0.006756756756756757,3
39,39,0.006756756756756757,3
39,40,0.006756756756756757,3
39,41,0.006756756756756757,3
39,42,0.006756756756756757,3
39,43,0.006756756756756757,3
39,44,0.006756756756756757,3
39,45,0.006756756756756757,3
39,46,0.0125,3
39,47,0.0125,3
39,48,0.0125,3
39,49,0.0125,3
31,0,0.004724659909103024,4
31,1,0.004724659909103024,4
31,2,0.006622516556291391,4
31,3,0.006622516556291391,4
31,4,0.006622516556291391,4
31,5,0.008514100309152199,4
31,6,0.008514100309152199,4
31,7,0.008514100309152199,4
31,8,0.008514100309152199,4
31,9,0.008514100309152199,4
31,10,0.010638297872340425,4
31,11,0.010638297872340425,4
31,12,0.010638297872340425,4
31,13,0.013333333333333334,4
31,14,0.013333333333333334,4
31,15,0.013333333333333334,4
31,16,0.013333333333333334,4
31,17,0.013333333333333334,4
31,18,0.013333333333333334,4
31,19,0.013333333333333334,4
31,20,0.013333333333333334,4
31,21,0.013333333333333334,4
31,22,0.013333333333333334,4
31,23,0.013333333333333334,4
31,24,0.013333333333333334,4
31,25,0.01639344262295082,4
31,26,0.01639344262295082,4
31,27,0.01639344262295082,4
31,28,0.01639344262295082,4
31,29,0.01639344262295082,4
31,30,0.01639344262295082,4
31,31,0.01639344262295082,4
31,32,0.01639344262295082,4
31,33,0.01639344262295082,4
31,34,0.01639344262295082,4
31,35,0.01639344262295082,4
31,36,0.01639344262295082,4
31,37,0.01639344262295082,4
31,38,0.01639344262295082,4
31,39,0.01639344262295082,4
31,40,0.01639344262295082,4
31,41,0.01639344262295082,4
31,42,0.01639344262295082,4
31,43,0.01639344262295082,4
31,44,0.01639344262295082,4
31,45,0.01639344262295082,4
31,46,0.01639344262295082,4
31,47,0.01639344262295082,4
31,48,0.01639344262295082,4
31,49,0.01639344262295082,4
29,0,0.0008539423385377973,5
29,1,0.001591619617003921,5
29,2,0.0016378570026899604,5
29,3,0.010752688172043012,5
29,4,0.010752688172043012,5
29,5,0.010752688172043012,5
29,6,0.013888888888888888,5
29,7,0.013888888888888888,5
